Title,Version,Severity,Description
RHEL 8 must require users to provide a password for privilege escalation.,RHEL-08-010380,medium,"Without reauthentication, users may access resources or perform tasks for which they do not have authorization.

When operating systems provide the capability to escalate a functional capability, it is critical the user reauthenticate.

Satisfies: SRG-OS-000373-GPOS-00156, SRG-OS-000373-GPOS-00157, SRG-OS-000373-GPOS-00158"
RHEL 8 must require users to reauthenticate for privilege escalation.,RHEL-08-010381,medium,"Without reauthentication, users may access resources or perform tasks for which they do not have authorization.

When operating systems provide the capability to escalate a functional capability, it is critical the user reauthenticate.

Satisfies: SRG-OS-000373-GPOS-00156, SRG-OS-000373-GPOS-00157, SRG-OS-000373-GPOS-00158"
RHEL 8 must have the packages required for multifactor authentication installed.,RHEL-08-010390,medium,"Using an authentication device, such as a DoD Common Access Card (CAC) or token that is separate from the information system, ensures that even if the information system is compromised, credentials stored on the authentication device will not be affected.

Multifactor solutions that require devices separate from information systems gaining access include, for example, hardware tokens providing time-based or challenge-response authenticators and smart cards such as the U.S. Government Personal Identity Verification (PIV) card and the DoD CAC.

A privileged account is defined as an information system account with authorizations of a privileged user.

Remote access is access to DoD nonpublic information systems by an authorized user (or an information system) communicating through an external, non-organization-controlled network. Remote access methods include, for example, dial-up, broadband, and wireless.

This requirement only applies to components where this is specific to the function of the device or has the concept of an organizational user (e.g., VPN, proxy capability). This does not apply to authentication for the purpose of configuring the device itself (management)."
RHEL 8 must implement certificate status checking for multifactor authentication.,RHEL-08-010400,medium,"Using an authentication device, such as a DoD Common Access Card (CAC) or token that is separate from the information system, ensures that even if the information system is compromised, credentials stored on the authentication device will not be affected.

Multifactor solutions that require devices separate from information systems gaining access include, for example, hardware tokens providing time-based or challenge-response authenticators and smart cards such as the U.S. Government Personal Identity Verification (PIV) card and the DoD CAC.

RHEL 8 includes multiple options for configuring certificate status checking, but for this requirement focuses on the System Security Services Daemon (SSSD). By default, sssd performs Online Certificate Status Protocol (OCSP) checking and certificate verification using a sha256 digest function.

Satisfies: SRG-OS-000375-GPOS-00160, SRG-OS-000377-GPOS-00162"
RHEL 8 must accept Personal Identity Verification (PIV) credentials.,RHEL-08-010410,medium,"The use of PIV credentials facilitates standardization and reduces the risk of unauthorized access.

The DoD has mandated the use of the Common Access Card (CAC) to support identity management and personal authentication for systems covered under Homeland Security Presidential Directive (HSPD) 12, as well as making the CAC a primary component of layered protection for national security systems."
RHEL 8 must implement non-executable data to protect its memory from unauthorized code execution.,RHEL-08-010420,medium,"Some adversaries launch attacks with the intent of executing code in non-executable regions of memory or in memory locations that are prohibited. Security safeguards employed to protect memory include, for example, data execution prevention and address space layout randomization. Data execution prevention safeguards can be either hardware-enforced or software-enforced with hardware providing the greater strength of mechanism.

Examples of attacks are buffer overflow attacks."
RHEL 8 must clear the page allocator to prevent use-after-free attacks.,RHEL-08-010421,medium,"Some adversaries launch attacks with the intent of executing code in non-executable regions of memory or in memory locations that are prohibited. Security safeguards employed to protect memory include, for example, data execution prevention and address space layout randomization. Data execution prevention safeguards can be either hardware-enforced or software-enforced with hardware providing the greater strength of mechanism.

Poisoning writes an arbitrary value to freed pages, so any modification or reference to that page after being freed or before being initialized will be detected and prevented. This prevents many types of use-after-free vulnerabilities at little performance cost. Also prevents leak of data and detection of corrupted memory.

Satisfies: SRG-OS-000134-GPOS-00068, SRG-OS-000433-GPOS-00192"
RHEL 8 must disable virtual syscalls.,RHEL-08-010422,medium,"Syscalls are special routines in the Linux kernel, which userspace applications ask to do privileged tasks.  Invoking a system call is an expensive operation because the processor must interrupt the currently executing task and switch context to kernel mode and then back to userspace after the system call completes.  Virtual Syscalls map into user space a page that contains some variables and the implementation of some system calls.  This allows the system calls to be executed in userspace to alleviate the context switching expense.

Virtual Syscalls provide an opportunity of attack for a user who has control of the return instruction pointer.  Disabling vsyscalls help to prevent return oriented programming (ROP) attacks via buffer overflows and overruns. If the system intends to run containers based on RHEL 6 components, then virtual syscalls will need enabled so the components function properly.

Satisfies: SRG-OS-000134-GPOS-00068, SRG-OS-000433-GPOS-00192"
RHEL 8 must clear SLUB/SLAB objects to prevent use-after-free attacks.,RHEL-08-010423,medium,"Some adversaries launch attacks with the intent of executing code in nonexecutable regions of memory or in memory locations that are prohibited. Security safeguards employed to protect memory include, for example, data execution prevention and address space layout randomization. Data execution prevention safeguards can be either hardware-enforced or software-enforced with hardware providing the greater strength of mechanism.

Poisoning writes an arbitrary value to freed pages, so any modification or reference to that page after being freed or before being initialized will be detected and prevented. This prevents many types of use-after-free vulnerabilities at little performance cost. Also prevents leak of data and detection of corrupted memory.

SLAB objects are blocks of physically-contiguous memory.  SLUB is the unqueued SLAB allocator.

Satisfies: SRG-OS-000134-GPOS-00068, SRG-OS-000433-GPOS-00192"
RHEL 8 must implement address space layout randomization (ASLR) to protect its memory from unauthorized code execution.,RHEL-08-010430,medium,"Some adversaries launch attacks with the intent of executing code in non-executable regions of memory or in memory locations that are prohibited. Security safeguards employed to protect memory include, for example, data execution prevention and address space layout randomization. Data execution prevention safeguards can be either hardware-enforced or software-enforced with hardware providing the greater strength of mechanism.

Examples of attacks are buffer overflow attacks.

The sysctl --system command will load settings from all system configuration files. All configuration files are sorted by their filename in lexicographic order, regardless of which of the directories they reside in. If multiple files specify the same option, the entry in the file with the lexicographically latest name will take precedence. Files are read from directories in the following list from top to bottom. Once a file of a given filename is loaded, any file of the same name in subsequent directories is ignored.
/etc/sysctl.d/*.conf
/run/sysctl.d/*.conf
/usr/local/lib/sysctl.d/*.conf
/usr/lib/sysctl.d/*.conf
/lib/sysctl.d/*.conf
/etc/sysctl.conf"
YUM must remove all software components after updated versions have been installed on RHEL 8.,RHEL-08-010440,low,Previous versions of software components that are not removed from the information system after updates have been installed may be exploited by adversaries. Some information technology products may remove older versions of software automatically from the information system.
RHEL 8 must enable the SELinux targeted policy.,RHEL-08-010450,medium,"Without verification of the security functions, security functions may not operate correctly and the failure may go unnoticed. Security function is defined as the hardware, software, and/or firmware of the information system responsible for enforcing the system security policy and supporting the isolation of code and data on which the protection is based. Security functionality includes, but is not limited to, establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters.

This requirement applies to operating systems performing security function verification/testing and/or systems and environments that require this functionality."
There must be no shosts.equiv files on the RHEL 8 operating system.,RHEL-08-010460,high,"The ""shosts.equiv"" files are used to configure host-based authentication for the system via SSH. Host-based authentication is not sufficient for preventing unauthorized access to the system, as it does not require interactive identification and authentication of a connection request, or for the use of two-factor authentication."
There must be no .shosts files on the RHEL 8 operating system.,RHEL-08-010470,high,"The "".shosts"" files are used to configure host-based authentication for individual users or the system via SSH. Host-based authentication is not sufficient for preventing unauthorized access to the system, as it does not require interactive identification and authentication of a connection request, or for the use of two-factor authentication."
RHEL 8 must enable the hardware random number generator entropy gatherer service.,RHEL-08-010471,low,"The most important characteristic of a random number generator is its randomness, namely its ability to deliver random numbers that are impossible to predict. Entropy in computer security is associated with the unpredictability of a source of randomness.  The random source with high entropy tends to achieve a uniform distribution of random values. Random number generators are one of the most important building blocks of cryptosystems.  

The rngd service feeds random data from hardware device to kernel random device. Quality (nonpredictable) random number generation is important for several security functions (i.e., ciphers)."
The RHEL 8 SSH public host key files must have mode 0644 or less permissive.,RHEL-08-010480,medium,"If a public host key file is modified by an unauthorized user, the SSH service may be compromised."
The RHEL 8 SSH private host key files must have mode 0640 or less permissive.,RHEL-08-010490,medium,"If an unauthorized user obtains the private SSH host key file, the host could be impersonated."
The RHEL 8 SSH daemon must perform strict mode checking of home directory configuration files.,RHEL-08-010500,medium,"If other users have access to modify user-specific SSH configuration files, they may be able to log on to the system as another user."
The RHEL 8 SSH daemon must not allow authentication using known host’s authentication.,RHEL-08-010520,medium,"Configuring this setting for the SSH daemon provides additional assurance that remote logon via SSH will require a password, even in the event of misconfiguration elsewhere."
"The RHEL 8 SSH daemon must not allow Kerberos authentication, except to fulfill documented and validated mission requirements.",RHEL-08-010521,medium,"Configuring these settings for the SSH daemon provides additional assurance that remote logon via SSH will not use unused methods of authentication, even in the event of misconfiguration elsewhere."
RHEL 8 must use a separate file system for /var.,RHEL-08-010540,low,The use of separate file systems for different paths can protect the system from failures resulting from a file system becoming full or failing.
RHEL 8 must use a separate file system for /var/log.,RHEL-08-010541,low,The use of separate file systems for different paths can protect the system from failures resulting from a file system becoming full or failing.
RHEL 8 must use a separate file system for the system audit data path.,RHEL-08-010542,low,The use of separate file systems for different paths can protect the system from failures resulting from a file system becoming full or failing.
A separate RHEL 8 filesystem must be used for the /tmp directory.,RHEL-08-010543,medium,The use of separate file systems for different paths can protect the system from failures resulting from a file system becoming full or failing.
RHEL 8 must not permit direct logons to the root account using remote access via SSH.,RHEL-08-010550,medium,"Even though the communications channel may be encrypted, an additional layer of security is gained by extending the policy of not logging on directly as root. In addition, logging on with a user-specific account provides individual accountability of actions performed on the system."
The rsyslog service must be running in RHEL 8.,RHEL-08-010561,medium,"Configuring RHEL 8 to implement organization-wide security implementation guides and security checklists ensures compliance with federal standards and establishes a common security baseline across the DoD that reflects the most restrictive security posture consistent with operational requirements.

Configuration settings are the set of parameters that can be changed in hardware, software, or firmware components of the system that affect the security posture and/or functionality of the system. Security-related parameters are those parameters impacting the security state of the system, including the parameters required to satisfy other security control requirements. Security-related parameters include, for example: registry settings; account, file, directory permission settings; and settings for functions, ports, protocols, services, and remote connections."
RHEL 8 must prevent files with the setuid and setgid bit set from being executed on file systems that contain user home directories.,RHEL-08-010570,medium,"The ""nosuid"" mount option causes the system not to execute ""setuid"" and ""setgid"" files with owner privileges. This option must be used for mounting any file system not containing approved ""setuid"" and ""setguid"" files. Executing files from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent files with the setuid and setgid bit set from being executed on the /boot directory.,RHEL-08-010571,medium,"The ""nosuid"" mount option causes the system not to execute ""setuid"" and ""setgid"" files with owner privileges. This option must be used for mounting any file system not containing approved ""setuid"" and ""setguid"" files. Executing files from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent special devices on non-root local partitions.,RHEL-08-010580,medium,"The ""nodev"" mount option causes the system to not interpret character or block special devices. Executing character or block special devices from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access.  The only legitimate location for device files is the /dev directory located on the root partition."
RHEL 8 must prevent code from being executed on file systems that contain user home directories.,RHEL-08-010590,medium,"The ""noexec"" mount option causes the system not to execute binary files. This option must be used for mounting any file system not containing approved binary files, as they may be incompatible. Executing files from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent special devices on file systems that are used with removable media.,RHEL-08-010600,medium,"The ""nodev"" mount option causes the system not to interpret character or block special devices. Executing character or block special devices from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent code from being executed on file systems that are used with removable media.,RHEL-08-010610,medium,"The ""noexec"" mount option causes the system not to execute binary files. This option must be used for mounting any file system not containing approved binary files, as they may be incompatible. Executing files from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent files with the setuid and setgid bit set from being executed on file systems that are used with removable media.,RHEL-08-010620,medium,"The ""nosuid"" mount option causes the system not to execute ""setuid"" and ""setgid"" files with owner privileges. This option must be used for mounting any file system not containing approved ""setuid"" and ""setguid"" files. Executing files from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent code from being executed on file systems that are imported via Network File System (NFS).,RHEL-08-010630,medium,"The ""noexec"" mount option causes the system not to execute binary files. This option must be used for mounting any file system not containing approved binary as they may be incompatible. Executing files from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent special devices on file systems that are imported via Network File System (NFS).,RHEL-08-010640,medium,"The ""nodev"" mount option causes the system to not interpret character or block special devices. Executing character or block special devices from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
RHEL 8 must prevent files with the setuid and setgid bit set from being executed on file systems that are imported via Network File System (NFS).,RHEL-08-010650,medium,"The ""nosuid"" mount option causes the system not to execute ""setuid"" and ""setgid"" files with owner privileges. This option must be used for mounting any file system not containing approved ""setuid"" and ""setguid"" files. Executing files from untrusted file systems increases the opportunity for unprivileged users to attain unauthorized administrative access."
Local RHEL 8 initialization files must not execute world-writable programs.,RHEL-08-010660,medium,"If user start-up files execute world-writable programs, especially in unprotected directories, they could be maliciously modified to destroy user files or otherwise compromise the system at the user level. If the system is compromised at the user level, it is easier to elevate privileges to eventually compromise the system at the root and network level."
RHEL 8 must disable kernel dumps unless needed.,RHEL-08-010670,medium,"Kernel core dumps may contain the full contents of system memory at the time of the crash. Kernel core dumps may consume a considerable amount of disk space and may result in denial of service by exhausting the available space on the target file system partition.

RHEL 8 installation media presents the option to enable or disable the kdump service at the time of system installation."
RHEL 8 must disable the kernel.core_pattern.,RHEL-08-010671,medium,"It is detrimental for operating systems to provide, or install by default, functionality exceeding requirements or mission objectives. These unnecessary capabilities or services are often overlooked and therefore may remain unsecured. They increase the risk to the platform by providing additional attack vectors.

The sysctl --system command will load settings from all system configuration files. All configuration files are sorted by their filename in lexicographic order, regardless of which of the directories they reside in. If multiple files specify the same option, the entry in the file with the lexicographically latest name will take precedence. Files are read from directories in the following list from top to bottom. Once a file of a given filename is loaded, any file of the same name in subsequent directories is ignored.
/etc/sysctl.d/*.conf
/run/sysctl.d/*.conf
/usr/local/lib/sysctl.d/*.conf
/usr/lib/sysctl.d/*.conf
/lib/sysctl.d/*.conf
/etc/sysctl.conf"
"RHEL 8 must disable acquiring, saving, and processing core dumps.",RHEL-08-010672,medium,"It is detrimental for operating systems to provide, or install by default, functionality exceeding requirements or mission objectives. These unnecessary capabilities or services are often overlooked and therefore may remain unsecured. They increase the risk to the platform by providing additional attack vectors.

A core dump includes a memory image taken at the time the operating system terminates an application. The memory image could contain sensitive data and is generally useful only for developers trying to debug problems.

When the kernel invokes systemd-coredumpt to handle a core dump, it runs in privileged mode, and will connect to the socket created by the systemd-coredump.socket unit. This, in turn,  will spawn an unprivileged systemd-coredump@.service instance to process the core dump."
RHEL 8 must disable core dumps for all users.,RHEL-08-010673,medium,"It is detrimental for operating systems to provide, or install by default, functionality exceeding requirements or mission objectives. These unnecessary capabilities or services are often overlooked and therefore may remain unsecured. They increase the risk to the platform by providing additional attack vectors.

A core dump includes a memory image taken at the time the operating system terminates an application. The memory image could contain sensitive data and is generally useful only for developers trying to debug problems."
RHEL 8 must disable storing core dumps.,RHEL-08-010674,medium,"It is detrimental for operating systems to provide, or install by default, functionality exceeding requirements or mission objectives. These unnecessary capabilities or services are often overlooked and therefore may remain unsecured. They increase the risk to the platform by providing additional attack vectors.

A core dump includes a memory image taken at the time the operating system terminates an application. The memory image could contain sensitive data and is generally useful only for developers trying to debug problems."
RHEL 8 must disable core dump backtraces.,RHEL-08-010675,medium,"It is detrimental for operating systems to provide, or install by default, functionality exceeding requirements or mission objectives. These unnecessary capabilities or services are often overlooked and therefore may remain unsecured. They increase the risk to the platform by providing additional attack vectors.

A core dump includes a memory image taken at the time the operating system terminates an application. The memory image could contain sensitive data and is generally useful only for developers trying to debug problems."
"For RHEL 8 systems using Domain Name Servers (DNS) resolution, at least two name servers must be configured.",RHEL-08-010680,medium,"To provide availability for name resolution services, multiple redundant name servers are mandated. A failure in name resolution could lead to the failure of security functions requiring name resolution, which may include time synchronization, centralized authentication, and remote system logging."
Executable search paths within the initialization files of all local interactive RHEL 8 users must only contain paths that resolve to the system default or the users home directory.,RHEL-08-010690,medium,"The executable search path (typically the PATH environment variable) contains a list of directories for the shell to search to find executables. If this path includes the current working directory (other than the user's home directory), executables in these directories may be executed instead of system commands. This variable is formatted as a colon-separated list of directories. If there is an empty entry, such as a leading or trailing colon or two consecutive colons, this is interpreted as the current working directory. If deviations from the default system search path for the local interactive user are required, they must be documented with the Information System Security Officer (ISSO)."
"All RHEL 8 world-writable directories must be owned by root, sys, bin, or an application user.",RHEL-08-010700,medium,"If a world-writable directory is not owned by root, sys, bin, or an application User Identifier (UID), unauthorized users may be able to modify files created by others.

The only authorized public directories are those temporary directories supplied with the system or those designed to be temporary file repositories. The setting is normally reserved for directories used by the system and by users for temporary file storage, (e.g., /tmp), and for directories requiring global read/write access."
"All RHEL 8 world-writable directories must be group-owned by root, sys, bin, or an application group.",RHEL-08-010710,medium,"If a world-writable directory is not group-owned by root, sys, bin, or an application Group Identifier (GID), unauthorized users may be able to modify files created by others.

The only authorized public directories are those temporary directories supplied with the system or those designed to be temporary file repositories. The setting is normally reserved for directories used by the system and by users for temporary file storage, (e.g., /tmp), and for directories requiring global read/write access."
All RHEL 8 local interactive users must have a home directory assigned in the /etc/passwd file.,RHEL-08-010720,medium,"If local interactive users are not assigned a valid home directory, there is no place for the storage and control of files they should own."
All RHEL 8 local interactive user home directories must have mode 0750 or less permissive.,RHEL-08-010730,medium,Excessive permissions on local interactive user home directories may allow unauthorized access to user files by other users.
All RHEL 8 local interactive user home directories must be group-owned by the home directory owner’s primary group.,RHEL-08-010740,medium,"If the Group Identifier (GID) of a local interactive user’s home directory is not the same as the primary GID of the user, this would allow unauthorized access to the user’s files, and users that share the same group may not be able to access files that they legitimately should."
All RHEL 8 local interactive user home directories defined in the /etc/passwd file must exist.,RHEL-08-010750,medium,"If a local interactive user has a home directory defined that does not exist, the user may be given access to the ""/"" directory as the current working directory upon logon. This could create a denial of service because the user would not be able to access their logon configuration files, and it may give them visibility to system files they normally would not be able to access."
All RHEL 8 local interactive user accounts must be assigned a home directory upon creation.,RHEL-08-010760,medium,"If local interactive users are not assigned a valid home directory, there is no place for the storage and control of files they should own."
All RHEL 8 local initialization files must have mode 0740 or less permissive.,RHEL-08-010770,medium,Local initialization files are used to configure the user's shell environment upon logon. Malicious modification of these files could compromise accounts upon logon.
All RHEL 8 local files and directories must have a valid owner.,RHEL-08-010780,medium,"Unowned files and directories may be unintentionally inherited if a user is assigned the same User Identifier ""UID"" as the UID of the un-owned files."
All RHEL 8 local files and directories must have a valid group owner.,RHEL-08-010790,medium,Files without a valid group owner may be unintentionally inherited if a group is assigned the same Group Identifier (GID) as the GID of the files without a valid group owner.
A separate RHEL 8 filesystem must be used for user home directories (such as /home or an equivalent).,RHEL-08-010800,medium,The use of separate file systems for different paths can protect the system from failures resulting from a file system becoming full or failing.
Unattended or automatic logon via the RHEL 8 graphical user interface must not be allowed.,RHEL-08-010820,high,Failure to restrict system access to authenticated users negatively impacts operating system security.
RHEL 8 must not allow users to override SSH environment variables.,RHEL-08-010830,medium,SSH environment options potentially allow users to bypass access restriction in some configurations.
RHEL 8 temporary user accounts must be provisioned with an expiration time of 72 hours or less.,RHEL-08-020000,medium,"If temporary user accounts remain active when no longer needed or for an excessive period, these accounts may be used to gain unauthorized access. To mitigate this risk, automated termination of all temporary accounts must be set upon account creation.

Temporary accounts are established as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation.

If temporary accounts are used, RHEL 8 must be configured to automatically terminate these types of accounts after a DoD-defined time period of 72 hours.

To address access requirements, many RHEL 8 operating systems may be integrated with enterprise-level authentication/access mechanisms that meet or exceed access control policy requirements."
RHEL 8 must automatically lock an account when three unsuccessful logon attempts occur.,RHEL-08-020010,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

RHEL 8 can utilize the ""pam_faillock.so"" for this purpose. Note that manual changes to the listed files may be overwritten by the ""authselect"" program.

From ""Pam_Faillock"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must automatically lock an account when three unsuccessful logon attempts occur.,RHEL-08-020011,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

In RHEL 8.2 the ""/etc/security/faillock.conf"" file was incorporated to centralize the configuration of the pam_faillock.so module.  Also introduced is a ""local_users_only"" option that will only track failed user authentication attempts for local users in /etc/passwd and ignore centralized (AD, IdM, LDAP, etc.) users to allow the centralized platform to solely manage user lockout.

From ""faillock.conf"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must automatically lock an account when three unsuccessful logon attempts occur during a 15-minute time period.,RHEL-08-020012,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

RHEL 8 can utilize the ""pam_faillock.so"" for this purpose. Note that manual changes to the listed files may be overwritten by the ""authselect"" program.

From ""Pam_Faillock"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must automatically lock an account when three unsuccessful logon attempts occur during a 15-minute time period.,RHEL-08-020013,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

In RHEL 8.2 the ""/etc/security/faillock.conf"" file was incorporated to centralize the configuration of the pam_faillock.so module.  Also introduced is a ""local_users_only"" option that will only track failed user authentication attempts for local users in /etc/passwd and ignore centralized (AD, IdM, LDAP, etc.) users to allow the centralized platform to solely manage user lockout.

From ""faillock.conf"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must automatically lock an account until the locked account is released by an administrator when three unsuccessful logon attempts occur during a 15-minute time period.,RHEL-08-020014,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

RHEL 8 can utilize the ""pam_faillock.so"" for this purpose. Note that manual changes to the listed files may be overwritten by the ""authselect"" program.

From ""Pam_Faillock"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must automatically lock an account until the locked account is released by an administrator when three unsuccessful logon attempts occur during a 15-minute time period.,RHEL-08-020015,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

In RHEL 8.2 the ""/etc/security/faillock.conf"" file was incorporated to centralize the configuration of the pam_faillock.so module.  Also introduced is a ""local_users_only"" option that will only track failed user authentication attempts for local users in /etc/passwd and ignore centralized (AD, IdM, LDAP, etc.) users to allow the centralized platform to solely manage user lockout.

From ""faillock.conf"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must ensure account lockouts persist.,RHEL-08-020016,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

RHEL 8 can utilize the ""pam_faillock.so"" for this purpose. Note that manual changes to the listed files may be overwritten by the ""authselect"" program.

From ""Pam_Faillock"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must ensure account lockouts persist.,RHEL-08-020017,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

In RHEL 8.2 the ""/etc/security/faillock.conf"" file was incorporated to centralize the configuration of the pam_faillock.so module.  Also introduced is a ""local_users_only"" option that will only track failed user authentication attempts for local users in /etc/passwd and ignore centralized (AD, IdM, LDAP, etc.) users to allow the centralized platform to solely manage user lockout.

From ""faillock.conf"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must prevent system messages from being presented when three unsuccessful logon attempts occur.,RHEL-08-020018,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

RHEL 8 can utilize the ""pam_faillock.so"" for this purpose. Note that manual changes to the listed files may be overwritten by the ""authselect"" program.

From ""Pam_Faillock"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must prevent system messages from being presented when three unsuccessful logon attempts occur.,RHEL-08-020019,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

In RHEL 8.2 the ""/etc/security/faillock.conf"" file was incorporated to centralize the configuration of the pam_faillock.so module.  Also introduced is a ""local_users_only"" option that will only track failed user authentication attempts for local users in /etc/passwd and ignore centralized (AD, IdM, LDAP, etc.) users to allow the centralized platform to solely manage user lockout.

From ""faillock.conf"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must log user name information when unsuccessful logon attempts occur.,RHEL-08-020020,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

RHEL 8 can utilize the ""pam_faillock.so"" for this purpose. Note that manual changes to the listed files may be overwritten by the ""authselect"" program.

From ""Pam_Faillock"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

In RHEL 8.2 the ""/etc/security/faillock.conf"" file was incorporated to centralize the configuration of the pam_faillock.so module. Also introduced is a ""local_users_only"" option that will only track failed user authentication attempts for local users in /etc/passwd and ignore centralized (AD, IdM, LDAP, etc.) users to allow the centralized platform to solely manage user lockout.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
RHEL 8 must log user name information when unsuccessful logon attempts occur.,RHEL-08-020021,medium,"By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-force attacks, is reduced. Limits are imposed by locking the account.

In RHEL 8.2 the ""/etc/security/faillock.conf"" file was incorporated to centralize the configuration of the pam_faillock.so module.  Also introduced is a ""local_users_only"" option that will only track failed user authentication attempts for local users in /etc/passwd and ignore centralized (AD, IdM, LDAP, etc.) users to allow the centralized platform to solely manage user lockout.

From ""faillock.conf"" man pages: Note that the default directory that ""pam_faillock"" uses is usually cleared on system boot so the access will be reenabled after system reboot. If that is undesirable a different tally directory must be set with the ""dir"" option.

Satisfies: SRG-OS-000021-GPOS-00005, SRG-OS-000329-GPOS-00128"
